  dataset zr_black zr_white  a_black v_black_gun t0_black_gun      st0  a_white v_white_phone t0_white_phone v_black_phone t0_black_phone v_white_gun t0_white_gun  penalty      fit     time   method
       75   0.3063   0.6179   2.0218  -9.3963   0.3439   0.1042   0.6191   5.9088   0.4428  11.2561   0.4209  -6.0161   0.4054   0.0000 -195.2469   1.0563       ML
       76   0.3904   0.5323   0.6408  -4.4191   0.4088   0.1479   0.6506   5.2269   0.5255   9.2958   0.5639  -7.0596   0.4624   0.0000 -163.0233   1.1152       ML
       77   0.4047   0.2545   0.7877  -4.8448   0.3671   0.1276   0.8245   8.0032   0.4696   5.4757   0.4799  -4.6243   0.4250   0.0000 -167.0606   0.8808       ML
       78   0.1005   0.0636   1.1742  -4.1250   0.4008   0.1358   0.5621  49.9984   0.5702  18.0872   0.5298  -4.0829   0.4527   0.0000 -202.8150   0.7934       ML
       79   0.4395   0.5185   0.6610  -3.8183   0.4664   0.1435   0.8874   5.8699   0.5438   5.0235   0.5304  -4.9772   0.4542   0.0000 -133.0442   0.9736       ML
        8   0.6747   0.6087   0.4620 -16.5250   0.3962   0.1412   0.5468   2.9998   0.4709   4.1398   0.5508  -2.9694   0.3851   0.0000 -148.6606   1.0559       ML
       80   0.3083   0.4029   0.4904  -1.3213   0.3601   0.2060   0.5776   2.0615   0.4275   0.4092   0.4346  -1.6622   0.3735   0.0000 -66.3735   1.3981       ML
       81   0.2865   0.4424   0.6367  -5.3102   0.4087   0.1774   0.9345   4.7396   0.4505   9.4273   0.5478  -3.7910   0.3861   0.0000 -134.3201   1.2918       ML
       82   0.6794   0.6498   0.6860  -7.2211   0.4318   0.1584   0.5978   1.5956   0.4520   6.6657   0.5244  -6.6667   0.4400   0.0000 -140.1376   0.9950       ML
       83   0.6237   0.1317   0.7183  -7.1663   0.4674   0.1782   0.5538  22.2879   0.5954   4.4713   0.5595  -2.8122   0.5218   0.0000 -127.8149   1.0870       ML
       84   0.3788   0.2654   0.6055  -3.7938   0.3977   0.1426   0.8247   3.0964   0.4443   6.5780   0.5732  -3.2593   0.4315   0.0000 -126.8122   1.2545       ML
       85   0.7870   0.7345   0.4990 -13.5810   0.4438   0.3169   0.3593   4.4098   0.4606   1.5616   0.4850  -9.4174   0.4851   0.0000 -90.0360   1.6733       ML
       86   0.6030   0.5329   0.8517  -5.3111   0.4012   0.1658   0.4729   4.2563   0.4601   6.1655   0.4685  -4.5500   0.4719   0.0000 -160.5998   0.8762       ML
       87   0.1352   0.0848   0.9416  -3.3184   0.4726   0.2065   0.6859  50.0000   0.5685  12.4043   0.5275  -1.5403   0.4707   0.0000 -128.5853   1.1516       ML
       88   0.4619   0.6348   3.3394 -10.2970   0.2499   0.0000   0.7463   4.6357   0.4431   8.8007   0.3083  -4.5747   0.3718   0.0000 -201.7181   0.2855       ML
       89   0.5707   0.3259   0.6161  -2.9080   0.3512   0.2513   0.6484   4.4165   0.4686   1.9611   0.4612  -0.6722   0.3929   0.0000 -67.4026   1.4779       ML
        9   0.4355   0.4382   0.4908  -4.4588   0.4851   0.1901   0.2840  10.9872   0.5888   8.7079   0.5719  -7.5451   0.5247   0.0000 -132.7939   1.0211       ML
       90   0.2464   0.3258   1.5591  -9.7436   0.3507   0.1210   0.7102   7.3899   0.4747   6.8636   0.4017  -4.7031   0.3935   0.0000 -185.3673   1.1092       ML
       91   0.4526   0.0254   0.6511  -7.3618   0.5131   0.1624   1.5390  22.5248   0.5412   2.8429   0.5305  -2.4450   0.5485   0.0000 -129.3714   0.9665       ML
       92   0.2754   0.6258   3.7087  -5.6160   0.2952   0.0003   0.8886   4.1388   0.4834  10.1768   0.3314  -4.3138   0.3922   0.0000 -153.8950   0.4035       ML
       93   0.5687   0.4267   0.6271  -4.8739   0.3788   0.2133   0.6758   3.4127   0.4195   3.8442   0.4499  -2.9515   0.3966   0.0000 -105.6472   0.8357       ML
       94   0.2565   0.6119   0.7985  -6.9893   0.4133   0.1796   0.5170   3.3239   0.4980  23.3282   0.5490  -6.7099   0.4470   0.0000 -152.6226   1.0574       ML
       95   0.5463   0.5227   0.4180  -8.8824   0.5150   0.2131   0.5470   4.8245   0.5549   5.7634   0.5917 -10.2734   0.5496   0.0000 -108.5598   1.0137       ML
       97   0.8226   0.4471   0.2016 -39.4573   0.5584   0.1901   1.6999  20.0313   0.5571  17.8031   0.6025 -11.8781   0.4896   0.0000 -143.1417   0.9046       ML
       98   0.4305   0.2660   0.7349  -5.6510   0.4107   0.1366   0.7367   6.5946   0.5385   6.3274   0.5634  -4.4030   0.4495   0.0000 -166.3553   1.0009       ML
       99   0.3438   0.5891   0.7588  -2.9285   0.3976   0.1061   0.6996   1.4962   0.4752   7.4104   0.5831  -3.9024   0.4420   0.0000 -107.0443   0.5411       ML
