"","subj_idx","dangerous","weapon","rt","response","condition","stimulus"
"397",4,1,0,0.6,1,"dangerous","phone"
"398",4,1,1,0.407,0,"dangerous","gun"
"399",4,0,1,0.302,0,"harmless","gun"
"400",4,0,0,0.54,1,"harmless","phone"
"401",4,1,0,0.621,0,"dangerous","phone"
"402",4,1,0,0.46,1,"dangerous","phone"
"403",4,0,0,0.544,1,"harmless","phone"
"404",4,0,0,0.527,1,"harmless","phone"
"405",4,1,1,0.4,1,"dangerous","gun"
"406",4,1,0,0.587,1,"dangerous","phone"
"407",4,0,0,0.57,1,"harmless","phone"
"408",4,1,1,0.314,1,"dangerous","gun"
"409",4,0,1,0.384,0,"harmless","gun"
"410",4,0,1,0.486,0,"harmless","gun"
"411",4,0,0,0.586,1,"harmless","phone"
"412",4,0,1,0.551,0,"harmless","gun"
"413",4,1,1,0.486,0,"dangerous","gun"
"414",4,0,0,0.538,1,"harmless","phone"
"415",4,1,1,0.491,0,"dangerous","gun"
"416",4,1,1,0.383,0,"dangerous","gun"
"417",4,0,1,0.553,0,"harmless","gun"
"418",4,1,1,0.411,0,"dangerous","gun"
"419",4,1,0,0.546,1,"dangerous","phone"
"420",4,1,1,0.531,0,"dangerous","gun"
"421",4,0,0,0.598,1,"harmless","phone"
"422",4,1,0,0.421,1,"dangerous","phone"
"423",4,1,0,0.717,1,"dangerous","phone"
"424",4,0,1,0.377,0,"harmless","gun"
"425",4,1,1,0.465,0,"dangerous","gun"
"426",4,1,1,0.424,0,"dangerous","gun"
"427",4,1,0,0.432,1,"dangerous","phone"
"428",4,1,1,0.567,0,"dangerous","gun"
"429",4,1,0,0.665,1,"dangerous","phone"
"430",4,0,0,0.694,1,"harmless","phone"
"431",4,1,1,0.499,0,"dangerous","gun"
"432",4,1,1,0.431,0,"dangerous","gun"
"433",4,0,0,0.415,1,"harmless","phone"
"434",4,1,1,0.361,0,"dangerous","gun"
"435",4,1,1,0.531,0,"dangerous","gun"
"436",4,0,1,0.53,0,"harmless","gun"
"437",4,0,1,0.486,0,"harmless","gun"
"438",4,0,1,0.521,0,"harmless","gun"
"439",4,0,0,0.67,1,"harmless","phone"
"440",4,1,0,0.563,1,"dangerous","phone"
"441",4,0,1,0.512,0,"harmless","gun"
"442",4,0,1,0.469,0,"harmless","gun"
"443",6,0,0,0.66,0,"harmless","phone"
"444",6,1,1,0.383,0,"dangerous","gun"
"445",6,1,1,0.349,1,"dangerous","gun"
"446",6,1,1,0.429,0,"dangerous","gun"
"447",6,1,0,0.301,0,"dangerous","phone"
"448",6,0,1,0.348,0,"harmless","gun"
"449",6,0,0,0.471,1,"harmless","phone"
"450",6,1,1,0.417,0,"dangerous","gun"
"451",6,1,0,0.535,1,"dangerous","phone"
"452",6,0,0,0.478,0,"harmless","phone"
"453",6,0,0,0.584,0,"harmless","phone"
"454",6,0,1,0.42,0,"harmless","gun"
"455",6,0,0,0.576,1,"harmless","phone"
"456",6,0,0,0.558,1,"harmless","phone"
"457",6,1,0,0.513,1,"dangerous","phone"
"458",6,1,1,0.469,0,"dangerous","gun"
"459",6,0,1,0.492,0,"harmless","gun"
"460",6,0,1,0.464,0,"harmless","gun"
"461",6,1,1,0.457,0,"dangerous","gun"
"462",6,0,1,0.419,0,"harmless","gun"
"463",6,0,1,0.41,0,"harmless","gun"
"464",6,0,1,0.505,0,"harmless","gun"
"465",6,0,1,0.45,0,"harmless","gun"
"466",6,1,1,0.491,0,"dangerous","gun"
"467",6,0,1,0.437,0,"harmless","gun"
"468",6,1,0,0.609,1,"dangerous","phone"
"469",6,1,1,0.489,0,"dangerous","gun"
"470",6,0,1,0.439,0,"harmless","gun"
"471",6,0,0,0.628,1,"harmless","phone"
"472",6,0,0,0.536,1,"harmless","phone"
"473",6,0,0,0.544,1,"harmless","phone"
"474",6,0,1,0.451,0,"harmless","gun"
"475",6,1,0,0.54,1,"dangerous","phone"
"476",6,1,1,0.481,0,"dangerous","gun"
"477",6,1,0,0.631,1,"dangerous","phone"
"478",6,0,0,0.617,1,"harmless","phone"
"479",6,1,1,0.526,0,"dangerous","gun"
"480",6,1,1,0.472,0,"dangerous","gun"
"481",6,0,1,0.495,0,"harmless","gun"
"482",6,0,0,0.551,1,"harmless","phone"
"483",6,0,1,0.51,0,"harmless","gun"
"484",6,0,1,0.439,0,"harmless","gun"
"485",6,0,0,0.53,1,"harmless","phone"
"486",6,0,1,0.458,0,"harmless","gun"
"487",6,0,1,0.504,0,"harmless","gun"
"488",6,0,0,0.498,1,"harmless","phone"
"489",6,1,0,0.666,1,"dangerous","phone"
"490",6,1,0,0.657,1,"dangerous","phone"
"491",6,0,0,0.626,1,"harmless","phone"
"492",6,1,1,0.489,0,"dangerous","gun"
"493",6,0,0,0.58,1,"harmless","phone"
"494",6,0,0,0.637,1,"harmless","phone"
"495",6,1,1,0.528,1,"dangerous","gun"
"496",6,0,1,0.543,0,"harmless","gun"
"497",6,1,1,0.539,0,"dangerous","gun"
"498",6,1,0,0.582,1,"dangerous","phone"
"499",6,1,1,0.557,0,"dangerous","gun"
"500",6,1,0,0.674,1,"dangerous","phone"
"501",6,0,1,0.561,0,"harmless","gun"
"502",6,1,0,0.633,1,"dangerous","phone"
"503",6,0,0,0.691,1,"harmless","phone"
"504",6,1,1,0.636,0,"dangerous","gun"
"505",6,1,1,0.691,0,"dangerous","gun"
"506",6,0,1,0.506,0,"harmless","gun"
"507",6,1,1,0.58,0,"dangerous","gun"
"508",6,0,1,0.508,0,"harmless","gun"
"509",6,0,0,0.748,1,"harmless","phone"
"510",6,0,0,0.689,1,"harmless","phone"
"511",6,1,1,0.521,0,"dangerous","gun"
