"","subj_idx","stimulus","stim","rt","response","condition"
"13966",130,"gun","wg",0.47,0,"white"
"13967",130,"gun","wg",0.522,0,"white"
"13968",130,"phone","bp",0.67,1,"black"
"13969",130,"phone","bp",0.663,1,"black"
"13970",130,"gun","wg",0.483,0,"white"
"13971",130,"gun","wg",0.529,0,"white"
"13972",130,"phone","bp",0.676,1,"black"
"13973",130,"gun","bg",0.54,0,"black"
"13974",130,"phone","bp",0.624,1,"black"
"13975",130,"gun","wg",0.602,0,"white"
"13976",130,"phone","wp",0.559,1,"white"
"13977",130,"phone","wp",0.48,1,"white"
"13978",130,"phone","bp",0.588,1,"black"
"13979",130,"phone","wp",0.457,1,"white"
"13980",130,"gun","bg",0.501,0,"black"
"13981",130,"gun","bg",0.386,0,"black"
"13982",130,"phone","bp",0.646,1,"black"
"13983",130,"phone","wp",0.546,1,"white"
"13984",130,"gun","wg",0.484,0,"white"
"13985",130,"phone","bp",0.559,1,"black"
"13986",130,"gun","wg",0.475,0,"white"
"13987",130,"gun","bg",0.509,0,"black"
"13989",130,"phone","wp",0.575,1,"white"
"13991",130,"phone","wp",0.395,1,"white"
"13992",130,"gun","bg",0.398,0,"black"
"13993",130,"phone","bp",0.576,1,"black"
"13994",130,"gun","wg",0.46,0,"white"
"13995",130,"phone","bp",0.551,0,"black"
"13996",130,"gun","wg",0.583,0,"white"
"13997",130,"phone","bp",0.554,1,"black"
"13998",130,"gun","wg",0.476,1,"white"
"13999",130,"phone","bp",0.625,1,"black"
"14000",130,"phone","wp",0.607,1,"white"
"14001",130,"gun","bg",0.524,0,"black"
"14002",130,"phone","bp",0.548,1,"black"
"14003",130,"gun","wg",0.545,0,"white"
"14004",130,"gun","bg",0.399,0,"black"
"14005",130,"gun","bg",0.375,0,"black"
"14006",130,"phone","bp",0.481,1,"black"
"14007",130,"phone","wp",0.433,0,"white"
"14008",130,"phone","wp",0.557,1,"white"
"14009",130,"phone","bp",0.542,1,"black"
"14010",130,"phone","wp",0.44,1,"white"
"14011",130,"gun","bg",0.568,0,"black"
"14012",130,"gun","bg",0.585,0,"black"
"14013",130,"gun","bg",0.439,0,"black"
"14015",130,"phone","bp",0.529,1,"black"
"14016",130,"gun","wg",0.567,0,"white"
"14017",130,"phone","bp",0.61,1,"black"
"14018",130,"phone","wp",0.538,1,"white"
"14019",130,"gun","bg",0.538,1,"black"
"14020",130,"phone","wp",0.629,1,"white"
"14021",130,"phone","wp",0.521,1,"white"
"14022",130,"gun","bg",0.453,0,"black"
"14023",130,"gun","wg",0.547,0,"white"
"14024",130,"gun","bg",0.38,0,"black"
"14025",130,"gun","bg",0.509,0,"black"
"14026",130,"gun","wg",0.459,0,"white"
"14027",130,"gun","wg",0.341,0,"white"
"14028",130,"gun","wg",0.407,0,"white"
"14029",130,"phone","bp",0.512,0,"black"
"14031",130,"gun","wg",0.499,0,"white"
"14032",130,"gun","wg",0.654,0,"white"
"14033",130,"gun","bg",0.456,0,"black"
"14034",130,"phone","wp",0.508,1,"white"
"14035",130,"phone","bp",0.572,1,"black"
"14036",130,"phone","bp",0.471,1,"black"
"14037",131,"gun","bg",0.411,0,"black"
"14038",131,"phone","bp",0.437,1,"black"
"14039",131,"phone","wp",0.527,1,"white"
"14040",131,"phone","wp",0.553,0,"white"
"14041",131,"phone","bp",0.535,1,"black"
"14042",131,"phone","wp",0.55,1,"white"
"14043",131,"gun","bg",0.39,0,"black"
"14044",131,"gun","bg",0.432,1,"black"
"14045",131,"gun","bg",0.442,0,"black"
"14046",131,"phone","wp",0.441,1,"white"
"14047",131,"phone","bp",0.504,1,"black"
"14048",131,"gun","bg",0.376,0,"black"
"14049",131,"phone","wp",0.441,1,"white"
"14050",131,"gun","wg",0.543,0,"white"
"14051",131,"gun","wg",0.428,0,"white"
"14052",131,"gun","wg",0.386,1,"white"
"14053",131,"gun","wg",0.403,1,"white"
"14055",131,"gun","wg",0.43,0,"white"
"14056",131,"gun","bg",0.403,0,"black"
"14057",131,"phone","bp",0.636,1,"black"
"14058",131,"gun","wg",0.457,0,"white"
"14059",131,"gun","bg",0.4,0,"black"
"14060",131,"phone","bp",0.441,1,"black"
"14061",131,"gun","wg",0.478,0,"white"
"14062",131,"phone","wp",0.611,1,"white"
"14063",131,"gun","bg",0.518,0,"black"
"14064",131,"gun","wg",0.428,0,"white"
"14065",131,"phone","wp",0.66,1,"white"
"14066",131,"gun","wg",0.421,0,"white"
"14067",131,"gun","bg",0.417,0,"black"
"14068",131,"gun","bg",0.397,0,"black"
"14069",131,"gun","wg",0.44,0,"white"
"14070",131,"gun","wg",0.514,0,"white"
"14071",131,"phone","wp",0.585,1,"white"
"14072",131,"gun","bg",0.413,0,"black"
"14073",131,"gun","wg",0.44,0,"white"
"14074",131,"gun","bg",0.4,0,"black"
"14075",131,"gun","wg",0.38,0,"white"
"14076",131,"gun","wg",0.487,0,"white"
"14077",131,"gun","wg",0.447,0,"white"
"14078",131,"gun","wg",0.426,0,"white"
"14079",131,"phone","wp",0.516,1,"white"
"14080",131,"phone","wp",0.522,1,"white"
"14081",131,"phone","bp",0.611,1,"black"
"14082",131,"phone","bp",0.502,1,"black"
"14083",131,"gun","bg",0.493,0,"black"
"14084",131,"gun","bg",0.39,0,"black"
"14085",131,"phone","wp",0.562,1,"white"
"14086",131,"phone","bp",0.586,1,"black"
"14087",131,"gun","bg",0.479,0,"black"
"14088",131,"phone","bp",0.648,1,"black"
"14089",131,"gun","bg",0.429,0,"black"
"14090",131,"gun","wg",0.409,0,"white"
"14091",131,"gun","wg",0.487,0,"white"
"14092",131,"gun","bg",0.448,0,"black"
